Name,City Area,Price For Two,Ratings,Tags,Link
À Parte,Saldanha,45.0,4.4,"Portuguesa, Brasileira, Italiana, Mediterrânica",https://www.zomato.com/pt/grande-lisboa/à-parte-saldanha-lisboa/info
UDON,Saldanha,30.0,4.2,Japonesa,https://www.zomato.com/pt/grande-lisboa/udon-saldanha-lisboa/info
Don Costini,Saldanha,40.0,4.0,"Hamburgueria, Italiana, Portuguesa, Pizza",https://www.zomato.com/pt/grande-lisboa/don-costini-saldanha-lisboa/info
Zaafran,Saldanha,40.0,4.3,"Indiana, Fusão",https://www.zomato.com/pt/grande-lisboa/zaafran-saldanha-lisboa/info
Tasca Fit,Saldanha,40.0,3.9,"Comida saudável, Portuguesa, Petiscos",https://www.zomato.com/pt/grande-lisboa/tasca-fit-saldanha-lisboa/info
Up to Sushi - Picoas,Saldanha,40.0,4.0,"Japonesa, Sushi",https://www.zomato.com/pt/grande-lisboa/up-to-sushi-picoas-saldanha-lisboa/info
Sushisan,Saldanha,45.0,4.1,"Japonesa, Sushi",https://www.zomato.com/pt/grande-lisboa/sushisan-saldanha-lisboa/info
JNcQUOI Avenida,Avenida da Liberdade,85.0,4.6,"Autor, Portuguesa, Internacional, Bebidas",https://www.zomato.com/pt/grande-lisboa/jncquoi-avenida-avenida-da-liberdade-lisboa/info
Guilty by Olivier,Avenida da Liberdade,60.0,4.1,"Italiana, Pizza, Hamburgueria, Bebidas",https://www.zomato.com/pt/guiltybyolivier/info
K.O.B by Olivier,Avenida da Liberdade,80.0,4.6,Bifes,https://www.zomato.com/pt/grande-lisboa/k-o-b-by-olivier-avenida-da-liberdade-lisboa/info
Solar dos Presuntos,Avenida da Liberdade,70.0,4.8,"Minhota, Portuguesa",https://www.zomato.com/pt/grande-lisboa/solar-dos-presuntos-avenida-da-liberdade-lisboa/info
Dote,Avenida da Liberdade,25.0,4.2,"Portuguesa, Petiscos",https://www.zomato.com/pt/grande-lisboa/dote-avenida-da-liberdade-lisboa/info
Pizzaria Luzzo,Avenida da Liberdade,35.0,4.4,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/pizzaria-luzzo-avenida-da-liberdade-lisboa/info
Seen,Avenida da Liberdade,10.0,4.5,"Sushi, Portuguesa, Contemporânea, Bebidas",https://www.zomato.com/pt/grande-lisboa/seen-avenida-da-liberdade-lisboa/info
Os Tibetanos,Avenida da Liberdade,40.0,4.2,"Tibetana, Vegetariana, Comida saudável",https://www.zomato.com/pt/grande-lisboa/os-tibetanos-avenida-da-liberdade-lisboa/info
Fenícios Castilho,Avenida da Liberdade,40.0,4.1,Libanesa,https://www.zomato.com/pt/grande-lisboa/fenícios-castilho-avenida-da-liberdade-lisboa/info
Mex Factory,Alcântara,30.0,4.1,"Mexicana, Bebidas",https://www.zomato.com/pt/grande-lisboa/mex-factory-alcântara-lisboa/info
Sushi Factory,Alcântara,40.0,4.1,"Japonesa, Sushi",https://www.zomato.com/pt/grande-lisboa/sushi-factory-alcântara-lisboa/info
A Praça,Alcântara,45.0,4.2,"Fusão, Italiana, Portuguesa, Petiscos",https://www.zomato.com/pt/grande-lisboa/a-praça-alcântara-lisboa/info
1300 Taberna,Alcântara,50.0,4.2,"Autor, Portuguesa",https://www.zomato.com/pt/grande-lisboa/1300-taberna-alcântara-lisboa/info
Capricciosa,Alcântara,30.0,4.0,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/capricciosa-alcântara-lisboa/info
Izanagi,Alcântara,60.0,4.3,Japonesa,https://www.zomato.com/pt/grande-lisboa/izanagi-alcântara-lisboa/info
Solar dos Nunes,Alcântara,50.0,4.6,"Alentejana, Portuguesa",https://www.zomato.com/pt/grande-lisboa/solar-dos-nunes-alcântara-lisboa/info
Himchuli,Alcântara,35.0,4.2,Nepalesa,https://www.zomato.com/pt/grande-lisboa/himchuli-alcântara-lisboa/info
Rui dos Pregos - Docas,Alcântara,25.0,4.0,"Portuguesa, Marisqueira, Petiscos",https://www.zomato.com/pt/grande-lisboa/rui-dos-pregos-docas-alcântara-lisboa/info
Ground Burger,Praça de Espanha,40.0,4.5,"Hamburgueria, Americana",https://www.zomato.com/pt/grande-lisboa/ground-burger-praça-de-espanha-lisboa/info
O Talho,Praça de Espanha,60.0,4.7,"Autor, Portuguesa, Bifes",https://www.zomato.com/pt/otalho/info
Casa Nepalesa,Praça de Espanha,50.0,4.7,"Nepalesa, Oriental",https://www.zomato.com/pt/grande-lisboa/casa-nepalesa-praça-de-espanha-lisboa/info
Go Juu,Praça de Espanha,50.0,4.9,"Sushi, Japonesa",https://www.zomato.com/pt/grande-lisboa/go-juu-praça-de-espanha-lisboa/info
