Name,City Area,Price For Two,Ratings,Tags,Link
The Green Affair - Saldanha,Saldanha,30.0,4.4,"Contemporary, Healthy Food, Vegan",https://www.zomato.com/grande-lisboa/the-green-affair-saldanha-saldanha-lisboa/info
UDON,Saldanha,30.0,4.2,Japanese,https://www.zomato.com/grande-lisboa/udon-saldanha-lisboa/info
L'Éclair,Saldanha,15.0,4.7,"Cafe, Desserts",https://www.zomato.com/grande-lisboa/léclair-saldanha-lisboa/info
Tasca Fit,Saldanha,40.0,3.9,"Healthy Food, Portuguese, Petiscos",https://www.zomato.com/grande-lisboa/tasca-fit-saldanha-lisboa/info
Frankie Hot Dogs,Saldanha,14.0,4.3,"Gourmet Fast Food, Street Food",https://www.zomato.com/grande-lisboa/frankie-hot-dogs-saldanha-lisboa/info
O Prego da Peixaria,Saldanha,25.0,4.1,"Gourmet Fast Food, Finger Food, Portuguese",https://www.zomato.com/grande-lisboa/o-prego-da-peixaria-saldanha-lisboa/info
JNcQUOI Avenida,Avenida da Liberdade,85.0,4.6,"Author, Portuguese, International, Beverages",https://www.zomato.com/grande-lisboa/jncquoi-avenida-avenida-da-liberdade-lisboa/info
Seen,Avenida da Liberdade,10.0,4.4,"Sushi, Portuguese, Contemporary, Beverages",https://www.zomato.com/grande-lisboa/seen-avenida-da-liberdade-lisboa/info
Dote,Avenida da Liberdade,25.0,4.2,"Portuguese, Petiscos",https://www.zomato.com/grande-lisboa/dote-avenida-da-liberdade-lisboa/info
Hard Rock Cafe Lisboa,Avenida da Liberdade,50.0,4.4,"American, Burger, Beverages",https://www.zomato.com/HardRockCafe-Lisboa/info
JNcQUOI ASIA,Avenida da Liberdade,10.0,4.4,"Japanese, Indian, Thai, Chinese",https://www.zomato.com/grande-lisboa/jncquoi-asia-1-avenida-da-liberdade-lisboa/info
Sr. Lisboa - Cozinha,Avenida da Liberdade,30.0,4.3,"Portuguese, Petiscos",https://www.zomato.com/grande-lisboa/sr-lisboa-cozinha-avenida-da-liberdade-lisboa/info
Fábrica Coffee Roasters,Avenida da Liberdade,12.0,4.2,"Coffee, Cafe, Finger Food, Tea",https://www.zomato.com/grande-lisboa/fábrica-coffee-roasters-avenida-da-liberdade-lisboa/info
A Gina,Avenida da Liberdade,40.0,4.1,Portuguese,https://www.zomato.com/grande-lisboa/a-gina-avenida-da-liberdade-lisboa/info
Level Eight,Avenida da Liberdade,25.0,3.9,"Petiscos, Finger Food, Beverages",https://www.zomato.com/grande-lisboa/level-eight-avenida-da-liberdade-lisboa/info
Mex Factory,Alcântara,30.0,4.1,"Mexican, Beverages",https://www.zomato.com/grande-lisboa/mex-factory-alcântara-lisboa/info
Village Food,Alcântara,30.0,4.2,"Portuguese, Finger Food, Desserts, Petiscos",https://www.zomato.com/buzzlisboeta/info
A Praça,Alcântara,45.0,4.2,"Fusion, Italian, Portuguese, Petiscos",https://www.zomato.com/grande-lisboa/a-praça-alcântara-lisboa/info
1300 Taberna,Alcântara,50.0,4.2,"Author, Portuguese",https://www.zomato.com/grande-lisboa/1300-taberna-alcântara-lisboa/info
Landeau,Alcântara,12.0,4.8,"Desserts, Cafe",https://www.zomato.com/grande-lisboa/landeau-alcântara-lisboa/info
Izanagi,Alcântara,60.0,4.3,Japanese,https://www.zomato.com/grande-lisboa/izanagi-alcântara-lisboa/info
Rui dos Pregos - Docas,Alcântara,25.0,4.0,"Portuguese, Seafood, Petiscos",https://www.zomato.com/grande-lisboa/rui-dos-pregos-docas-alcântara-lisboa/info
Chef Nino,Alcântara,17.0,4.1,"Desserts, Crepes, Cafe, Mediterranean, Finger Food",https://www.zomato.com/grande-lisboa/chef-nino-alcântara-lisboa/info
Malaca Too,Alcântara,40.0,4.0,"Thai, Vietnamese, Japanese, Korean, Chinese, Malaysian, Indian",https://www.zomato.com/grande-lisboa/malaca-too-alcântara-lisboa/info
Ground Burger,Praça de Espanha,40.0,4.5,"Burger, American",https://www.zomato.com/grande-lisboa/ground-burger-praça-de-espanha-lisboa/info
Pasta Non Basta,Praça de Espanha,35.0,4.3,"Italian, Pizza",https://www.zomato.com/grande-lisboa/pasta-non-basta-praça-de-espanha-lisboa/info
Ararate,Praça de Espanha,65.0,4.5,International,https://www.zomato.com/grande-lisboa/ararate-praça-de-espanha-lisboa/info
Bellalisa Valmor,Praça de Espanha,40.0,4.2,"Italian, Mediterranean",https://www.zomato.com/grande-lisboa/bellalisa-valmor-praça-de-espanha-lisboa/info
My Mother's Daughters,Praça de Espanha,16.0,4.3,Healthy Food,https://www.zomato.com/grande-lisboa/my-mothers-daughters-praça-de-espanha-lisboa/info
Rice Me,Praça de Espanha,30.0,4.2,"Mediterranean, Fusion, Vegetarian",https://www.zomato.com/grande-lisboa/rice-me-praça-de-espanha-lisboa/info
Hamburgueria do Bairro,Praça de Espanha,16.0,4.1,"Burger, Gourmet Fast Food",https://www.zomato.com/grande-lisboa/hamburgueria-do-bairro-praça-de-espanha-lisboa/info
Marrakesh,Praça de Espanha,30.0,4.1,"Moroccan, Indian",https://www.zomato.com/grande-lisboa/marrakesh-1-praça-de-espanha-lisboa/info
Barra Cascabel - Gourmet Experience,Praça de Espanha,30.0,4.2,Mexican,https://www.zomato.com/grande-lisboa/barra-cascabel-gourmet-experience-praça-de-espanha-lisboa/info
Heim Cafe,Santos,20.0,4.6,"Cafe, Healthy Food, Tea",https://www.zomato.com/grande-lisboa/heim-cafe-santos-lisboa/info
Contrabando,Santos,30.0,4.1,"American, Latin American, BBQ, Steak, Mexican",https://www.zomato.com/grande-lisboa/contrabando-santos-lisboa/info
